id,way,center
582,way/406693485,"-83.48965785,42.4378985"
583,way/407269283,"-83.2560317,42.2967728"
584,way/407269290,"-83.25701319999999,42.2850874"
585,way/407269292,"-83.26740625,42.29296105"
586,way/407487372,"-83.223417,42.2830221"
587,way/407487378,"-83.2581123,42.32271265"
588,way/407506759,"-86.0972702,41.989734600000006"
589,way/407506763,"-86.09703495,41.9897349"
590,way/407515575,"-86.689432,41.78357255"
591,way/407526145,"-85.13707065,45.154910799999996"
592,way/407526146,"-85.13728965,45.1549057"
593,way/407541875,"-83.85363425,43.0607007"
594,way/407716380,"-82.97825885,42.5902375"
595,way/407774824,"-83.32037704999999,42.6249173"
596,way/408070172,"-83.00456885,42.3742991"
597,way/408751924,"-83.23912705000001,42.28643065"
598,way/408751934,"-83.18242365,42.32520340000001"
599,way/408989176,"-83.1453195,42.34817675"
600,way/409049749,"-83.12894560000001,42.290693149999996"
601,way/409049757,"-83.1431111,42.2974048"
602,way/409130493,"-83.00209765,42.42871835"
603,way/410109869,"-83.0932134,42.37633285"
604,way/410800268,"-83.35911585,42.4054452"
605,way/410800272,"-83.3458672,42.39923505"
606,way/411107114,"-86.2044497,43.06065115"
607,way/411181119,"-83.3869818,42.40705535"
608,way/412280882,"-83.47078035,42.52046335"
609,way/413006551,"-83.5474091,42.55480715"
610,way/413052380,"-83.48143189999999,42.369863949999996"
611,way/413097744,"-83.50545604999999,42.34514915"
612,way/415827252,"-85.60869835,44.76200855"
613,way/416821859,"-85.07994260000001,43.290131349999996"
614,way/418763482,"-82.9421088,42.3564967"
615,way/418763486,"-82.93825435,42.3581733"
616,way/419593124,"-83.66177395,42.4424578"
617,way/420040974,"-83.544877,42.8213435"
618,way/420050508,"-83.72603045,42.29788245"
619,way/420342123,"-83.14061015,42.5837791"
620,way/420367168,"-83.21065955,42.6794548"
621,way/421320377,"-83.4384715,42.295835100000005"
622,way/421377846,"-83.1942153,42.5676526"
623,way/421787628,"-88.1634754,47.4570007"
624,way/421997066,"-88.4510732,47.2465461"
625,way/422324031,"-88.48118355,46.641822250000004"
626,way/425745718,"-83.78275065,42.162752049999995"
627,way/425780353,"-83.36750144999999,41.92662785"
628,way/427133031,"-83.31936865,41.93746265"
629,way/428717691,"-87.6026188,46.5129519"
630,way/428717692,"-87.60259595,46.5124721"
631,way/430273013,"-82.8013945,42.57644275"
632,way/431244287,"-85.64523,42.921022050000005"
633,way/432464962,"-83.44510875,42.85446825"
634,way/436181529,"-83.42723215,42.18581175"
635,way/436194446,"-85.94728180000001,46.3458765"
636,way/438217274,"-84.5390284,42.7807849"
637,way/439744317,"-85.870502,44.729400850000005"
638,way/439887190,"-90.0541121,46.48507055"
639,way/441022687,"-83.56802045,41.7834903"
640,way/441089832,"-83.63871195,41.7578382"
641,way/441864699,"-83.50380915,42.45367785"
642,way/442137582,"-83.5269237,42.5633251"
643,way/442380549,"-85.69762055000001,42.8876006"
644,way/442974940,"-83.12238415,42.30698145"
645,way/444203483,"-83.10410820000001,42.31280445"
646,way/445070653,"-83.51759435,43.17042375"
647,way/445070657,"-83.4638755,42.63828445"
648,way/446901131,"-83.63891749999999,42.2438022"
649,way/447979176,"-83.4736613,42.54918655"
650,way/450154975,"-84.40929445,42.22307755"
651,way/450498756,"-84.4432856,42.73955705"
652,way/451038124,"-83.23400509999999,42.78111335"
653,way/451872634,"-83.16592639999999,42.43714575"
654,way/456762883,"-83.15803495,42.4162858"
655,way/456838061,"-83.06770625,42.3355259"
656,way/457657073,"-83.16129040000001,42.25339675"
657,way/457657088,"-83.1575134,42.25002265"
658,way/457747326,"-83.35472634999999,41.90353165"
659,way/458588851,"-82.9621731,42.380350199999995"
660,way/458589815,"-83.1175625,42.42300075"
661,way/458679947,"-83.69947135000001,42.252324099999996"
662,way/458848403,"-83.70360170000001,42.26310515"
663,way/458993109,"-83.69020085,42.29263755"
664,way/458995892,"-83.23983860000001,41.986501950000005"
665,way/459096091,"-83.6938733,42.298939450000006"
666,way/459475960,"-83.12091029999999,42.3974634"
667,way/460247757,"-83.71609635,42.234633450000004"
668,way/460319363,"-83.53579785,42.214662000000004"
669,way/460431864,"-86.25800455,41.8402995"
670,way/460917619,"-83.26236355,42.17114155"
671,way/461278114,"-88.60242790000001,46.0595614"
672,way/461419872,"-85.5651151,44.7063718"
673,way/461499757,"-83.45118975,43.728755"
674,way/462402471,"-82.47148725,42.90932815"
675,way/464233668,"-82.96158045,42.438645"
676,way/464233698,"-82.97200584999999,42.4178147"
677,way/464233731,"-82.91642865,42.41149"
678,way/464233739,"-82.92328660000001,42.3988765"
679,way/465939703,"-83.02639475000001,42.3948714"
680,way/466081659,"-83.00168605,42.44144625"
681,way/467550910,"-86.19611275,43.17296825"
682,way/468373151,"-84.92361135,42.2280017"
683,way/468559927,"-83.12494085,42.4569404"
684,way/468642151,"-83.7324094,42.308147500000004"
685,way/469257175,"-83.11897540000001,42.472356500000004"
686,way/469323147,"-84.30764020000001,42.55509225"
687,way/469633428,"-85.71227795,42.8687143"
688,way/469809456,"-83.30119590000001,43.055963399999996"
689,way/470078164,"-83.5684353,42.23323225"
690,way/470078165,"-83.56823365,42.2332354"
691,way/470203538,"-83.28958705,44.65938525"
692,way/470305475,"-85.14208984999999,42.779561799999996"
693,way/470342212,"-85.34354015,42.9354462"
694,way/470736551,"-83.0694746,42.375048"
695,way/470762423,"-85.26855885,45.0704185"
696,way/470762424,"-85.2683732,45.07041585"
697,way/470856413,"-83.217179,42.2089954"
698,way/471301741,"-83.2057125,42.18829825"
699,way/471301763,"-83.2030718,42.2030296"
700,way/471301774,"-83.1906744,42.2063304"
701,way/471301783,"-83.20283175,42.2110912"
702,way/471781996,"-83.19108370000001,42.19325575"
703,way/472039762,"-85.3070967,42.645087450000005"
704,way/472040000,"-85.13504365,42.7284108"
705,way/472072921,"-83.1741623,42.2350887"
706,way/472080496,"-83.17720575,42.22400945"
707,way/472080525,"-83.19022179999999,42.23330535"
708,way/472080530,"-83.19809895,42.224366"
709,way/472314926,"-83.16062415,42.22751635"
710,way/472355813,"-83.0183111,42.415538850000004"
711,way/472435053,"-86.23706145,43.085748949999996"
712,way/472466511,"-86.23840645,43.0580615"
713,way/473321096,"-83.15774115,42.217170249999995"
714,way/473321105,"-83.17063345,42.22151615"
715,way/473453259,"-83.16651125,42.1954879"
716,way/473453265,"-83.17581519999999,42.2061565"
717,way/473672557,"-83.9230692,43.4779465"
718,way/473672564,"-83.9256362,43.48249955"
719,way/473968856,"-83.17615115000001,42.1899898"
720,way/473973468,"-83.15176650000001,42.2209014"
721,way/474903858,"-83.42060765,45.07136105"
722,way/475481244,"-83.08853115,42.3356602"
723,way/476164772,"-83.0607574,42.540366750000004"
724,way/477265396,"-83.158409,42.196428850000004"
725,way/479581717,"-85.54397935,43.11856935"
726,way/479587724,"-84.18172734999999,42.4533658"
727,way/479621410,"-84.18779845,42.4501384"
728,way/479621413,"-84.18724399999999,42.4501313"
729,way/480590967,"-85.5893568,43.07672875"
730,way/482142502,"-85.5358166,43.11106655"
731,way/482142505,"-85.53631485,43.110869699999995"
732,way/482142506,"-85.53618915,43.11071565"
733,way/482155529,"-85.55618774999999,43.124622599999995"
734,way/482155532,"-85.55743455000001,43.1258936"
735,way/482186826,"-85.54724110000001,43.13002185"
736,way/482191859,"-85.5573524,43.11667455"
737,way/482191861,"-85.55150004999999,43.11947895"
738,way/482263574,"-85.54466195,43.1164029"
739,way/482333304,"-85.55914415000001,43.092080249999995"
740,way/482586275,"-85.5816078,43.0523048"
741,way/484813465,"-85.46304864999999,42.71440565"
742,way/485194361,"-85.62845005,42.83905035"
743,way/485277634,"-84.14261020000001,43.5425325"
744,way/485393717,"-84.05479045,43.4603182"
745,way/485397006,"-84.07770395,43.4585802"
746,way/485442170,"-83.880008,43.602174399999996"
747,way/485442172,"-83.8798058,43.602159"
748,way/485442175,"-83.87960050000001,43.60214205"
749,way/485602941,"-84.22272795,43.41716425"
750,way/485604168,"-84.13854359999999,43.34997215"
751,way/486405418,"-84.1206429,43.5257192"
752,way/487226774,"-83.08049944999999,42.584080799999995"
753,way/487228653,"-83.07337065,42.59483165"
754,way/487228654,"-83.0733794,42.59503895"
755,way/487228655,"-83.07324320000001,42.59542055"
756,way/487410746,"-83.41098015,42.6125785"
757,way/488037847,"-85.6254686,42.9613588"
758,way/489930397,"-85.47810195,42.943656000000004"
759,way/490427992,"-85.59886525,43.01199925"
760,way/490447090,"-85.48808865,43.13906315"
761,way/491240948,"-85.67050325,42.95662515"
762,way/491437144,"-85.68710765,42.9610774"
763,way/491437145,"-85.6869964,42.9610796"
764,way/491688356,"-83.32413324999999,42.8214158"
765,way/492447431,"-85.66267615000001,43.004141649999994"
766,way/492447432,"-85.6619184,43.00410745000001"
767,way/492467327,"-84.6831241,45.04010995"
768,way/492467328,"-84.6833223,45.04010925"
769,way/494044021,"-85.6454249,42.6760419"
770,way/496970027,"-84.28362375,42.6856119"
771,way/497262198,"-87.39353725,46.5485445"
772,way/498407352,"-87.41485879999999,46.5615626"
773,way/498485789,"-87.43556480000001,46.54519125"
774,way/498502463,"-83.93041475000001,43.4439294"
775,way/499430147,"-83.17651845,42.2809094"
776,way/499673814,"-85.49199465000001,43.682798899999995"
777,way/499675616,"-85.48750935,43.68240455"
778,way/499708327,"-85.47871205,43.680413"
779,way/500203682,"-88.57353225,47.1184404"
780,way/503458041,"-85.6108193,43.0737758"
781,way/503458042,"-85.61068865,43.073778399999995"
782,way/503458043,"-85.61055485,43.0737758"
783,way/504587588,"-87.39696315,46.554775750000005"
784,way/504635757,"-83.26628415,42.273655399999996"
785,way/504640495,"-84.78187715,43.59532375"
786,way/504641313,"-84.77967815,43.59285345"
787,way/505436302,"-85.60325545,43.04193925"
788,way/505666003,"-85.63788975,42.9681181"
789,way/505707303,"-84.74993505,43.58877045"
790,way/505719974,"-84.77359905,43.567595999999995"
791,way/506153056,"-87.3970446,46.564303300000006"
792,way/509064620,"-88.5778487,47.1286193"
793,way/510274423,"-85.24917825,45.3030054"
794,way/510274424,"-85.24896150000001,45.30304275"
795,way/510600687,"-84.9542699,45.35997905"
796,way/510840520,"-84.78664979999999,45.55073755"
797,way/511181010,"-87.3820214,46.5105027"
798,way/511181020,"-87.3798333,46.511031349999996"
799,way/511357215,"-83.1445678,42.306815"
800,way/511789329,"-84.54088615,42.7579726"
801,way/512170456,"-84.5865188,42.67862015"
802,way/512170457,"-84.5865138,42.678444"
803,way/513712487,"-84.4060231,42.7430198"
804,way/514054497,"-84.40472685,42.745924"
805,way/516472091,"-84.7131591,44.65913195"
806,way/518559953,"-85.5988946,44.744553100000005"
807,way/519087138,"-83.13405815,42.4723288"
808,way/519606449,"-85.69470525,44.6564168"
809,way/522320445,"-85.5022247,42.894418200000004"
810,way/522320446,"-85.50199774999999,42.894418200000004"
811,way/523870072,"-85.59583434999999,42.98044935"
812,way/525421710,"-83.4500853,42.5990636"
813,way/525431954,"-82.7590912,42.6660999"
814,way/525431955,"-82.75902495,42.66595685"
815,way/525741802,"-83.4286228,42.18212155"
816,way/525741835,"-83.43152964999999,42.181965500000004"
817,way/525741836,"-83.43150750000001,42.18155955"
818,way/529025786,"-83.12808935000001,42.47236795"
819,way/529025787,"-83.12808665,42.472541050000004"
820,way/529043257,"-83.11540445,42.46544265"
821,way/530367811,"-85.74483294999999,41.93779265"
822,way/530367813,"-85.74482395,41.9379692"
823,way/530367814,"-85.74205524999999,41.9374663"
824,way/530440605,"-83.98376735,42.916801"
825,way/530440606,"-83.98354995,42.9168046"
826,way/530440608,"-83.98333155,42.91680805"
827,way/530440609,"-83.98311445,42.9168115"
828,way/530671964,"-85.577229,42.992543600000005"
829,way/530692330,"-83.98483145,42.90391525"
830,way/530692331,"-83.98460355,42.90391485"
831,way/530781052,"-83.55436169999999,42.25877895"
832,way/530781053,"-83.55439849999999,42.258970399999995"
833,way/530781066,"-83.56981995000001,42.266029"
834,way/530788574,"-83.60212785,42.247860700000004"
835,way/533363321,"-85.40545195,44.7735487"
836,way/534176361,"-83.3371268,42.6056965"
837,way/534330858,"-84.5144153,42.7503348"
838,way/538883877,"-83.16891795000001,42.321313950000004"
839,way/538883878,"-83.16937085,42.321305949999996"
840,way/538883879,"-83.1691831,42.3213075"
841,way/539648490,"-86.1786263,42.771479299999996"
842,way/539648491,"-86.17875105,42.7714773"
843,way/539755865,"-85.395851,43.134005450000004"
844,way/539755877,"-85.3913149,43.13515665"
845,way/544041371,"-82.4275524,43.00707675"
846,way/544184513,"-85.2675873,43.17813375"
847,way/544413750,"-83.4289265,45.069231349999995"
848,way/544447183,"-85.59922835,43.0124657"
849,way/544952224,"-85.7233571,42.96921835"
850,way/545106121,"-83.3920052,42.6730639"
851,way/545375744,"-83.62911385,42.2277408"
852,way/545701737,"-83.49809335,42.4768689"
853,way/545738414,"-83.9639482,43.466895050000005"
854,way/545778976,"-83.62282210000001,42.231304249999994"
855,way/546161976,"-82.53279195,43.26256465"
856,way/546430642,"-85.63745845,42.9539029"
857,way/546933372,"-85.58321095,43.0792125"
858,way/546962033,"-83.92368805000001,42.608966"
859,way/546966558,"-83.93026415,42.619751199999996"
860,way/547170060,"-82.46369935,42.9466526"
861,way/547170061,"-82.4634801,42.94665895"
862,way/547579385,"-83.04735465,42.3940921"
863,way/547984599,"-82.45823845,43.01859745"
864,way/548197434,"-84.6298696,45.3839879"
865,way/548353046,"-83.39393225,42.66298235"
866,way/548483591,"-85.55192745,42.927987200000004"
867,way/549016385,"-83.7471478,42.1989715"
868,way/550713315,"-83.469203,43.651267399999995"
869,way/550902402,"-84.65224375,41.911291000000006"
870,way/550919081,"-84.644698,41.92733175"
871,way/552175290,"-85.1198148,42.7583899"
872,way/552612189,"-86.21147955,43.222570450000006"
873,way/553067086,"-85.2099782,44.97972275"
874,way/553067087,"-85.2099879,44.9795242"
875,way/554266920,"-83.21369245,42.48210605"
876,way/554266972,"-83.2104307,42.4823419"
877,way/555867856,"-85.5706936,42.998517500000005"
878,way/556174215,"-85.61690305,42.86509755"
879,way/556355775,"-85.7708839,42.9761479"
880,way/556506843,"-82.7586022,42.69000305"
881,way/556898392,"-84.65461855,42.746300250000004"
882,way/558305557,"-85.69307914999999,43.02515685"
883,way/558679291,"-86.42547615000001,43.784335600000006"
884,way/559552781,"-86.43102745,43.788165449999994"
885,way/559894613,"-83.83386615,41.985238100000004"
886,way/560148360,"-85.62778575,42.86454975"
887,way/561312367,"-85.54470710000001,44.57649755"
888,way/561312370,"-85.5447094,44.57634615"
889,way/561312373,"-85.54439980000001,44.576343949999995"
890,way/561312376,"-85.54439049999999,44.576491000000004"
891,way/564712265,"-85.760147,42.9734409"
892,way/568329801,"-85.70619495,43.15641155"
893,way/568329803,"-85.70620414999999,43.156608500000004"
894,way/568398296,"-84.5897109,42.704401849999996"
895,way/568579181,"-84.57708765000001,42.678937000000005"
896,way/569136236,"-85.8603804,43.71331265"
897,way/570478282,"-85.702304,43.14784415"
898,way/571033894,"-85.59196885,43.1269981"
899,way/571695202,"-83.28332075,43.01469455"
900,way/571778336,"-83.72989075,42.2662024"
901,way/571778337,"-83.72983765000001,42.2654404"
902,way/574249667,"-84.59324015,42.7322939"
903,way/574915985,"-84.600537,42.765342849999996"
904,way/574922041,"-84.57838035,42.76435455"
905,way/576113402,"-85.6701206,43.178212349999995"
906,way/580972039,"-85.79254205000001,44.847679549999995"
907,way/582427024,"-84.5941296,42.69131205"
908,way/583533482,"-84.42946705,44.365201850000005"
909,way/583593891,"-86.1998535,42.64356065"
910,way/583625437,"-84.94710900000001,45.367891650000004"
911,way/583779791,"-82.80075819999999,42.7377289"
912,way/583785438,"-83.61796945,42.25577735"
913,way/583785460,"-83.6160673,42.255972150000005"
914,way/584415613,"-83.6309781,42.58388435"
915,way/584423909,"-86.24898505,41.825400450000004"
916,way/584423911,"-86.241004,41.81979495"
917,way/584491933,"-85.55764085,43.2221178"
918,way/584496507,"-84.5607167,42.68096145"
919,way/585767608,"-84.5480955,42.722857399999995"
920,way/587327032,"-85.0333339,45.358995750000005"
921,way/587347068,"-85.64536955,43.005303350000005"
922,way/587521311,"-83.8693998,42.328130650000006"
923,way/588271556,"-84.5989989,42.6728918"
924,way/588518817,"-84.5404241,42.687422100000006"
925,way/589352715,"-84.53341295,42.70401125"
926,way/589928429,"-85.5156243,43.083760999999996"
927,way/590004029,"-83.7397957,42.26947065"
928,way/590270185,"-88.64288875,47.07474495"
929,way/590563460,"-85.3686338,43.23697985"
930,way/590811646,"-85.2745777,43.43374635"
931,way/591201896,"-84.540957,42.74027355"
932,way/591213993,"-83.34894754999999,42.5805939"
933,way/591282139,"-83.35720169999999,42.64529995"
934,way/591392185,"-85.71418360000001,43.01649985"
935,way/591392191,"-85.71559085000001,43.015802699999995"
936,way/591407975,"-84.59177025,42.7110525"
937,way/592106272,"-82.98727305,42.3556935"
938,way/592782889,"-84.5839574,42.7555124"
939,way/593116946,"-84.5244318,42.699041"
940,way/593177576,"-88.63451445000001,47.0694196"
941,way/593916972,"-84.65158165,42.644307749999996"
942,way/594767795,"-85.52860835,42.62871435"
943,way/596668590,"-84.5914109,42.7423405"
944,way/597928929,"-83.85812899999999,43.04815995"
945,way/598194532,"-85.68892315,42.91776"
946,way/599681857,"-83.04707529999999,42.423509949999996"
947,way/599681890,"-83.0583842,42.42318025"
948,way/600479604,"-84.55939085,42.7383301"
949,way/600479605,"-84.55913005,42.73824405"
950,way/600483823,"-84.5168585,42.73507"
951,way/602748144,"-82.97824685,42.5899948"
952,way/603446742,"-84.57488405000001,42.70810885"
953,way/603467177,"-83.35507419999999,42.5931276"
954,way/603491691,"-84.95412425,45.364075299999996"
955,way/604291846,"-85.74795795,43.219125399999996"
956,way/604690487,"-84.51353315,42.72739795"
957,way/605945172,"-83.38735595,41.9136406"
958,way/606751805,"-85.62673035,43.044407"
959,way/607475707,"-82.92255714999999,43.2628299"
960,way/607490692,"-82.905278,43.2565747"
961,way/607825767,"-84.53034035,42.75127705"
962,way/607826305,"-84.53303875,42.754654099999996"
963,way/608345394,"-85.76852579999999,42.8965039"
964,way/608474326,"-84.56275025,42.74565265"
965,way/608785483,"-83.52303595000001,43.02708615"
966,way/609072707,"-83.8101169,42.968170650000005"
967,way/609100097,"-83.5192517,43.02409505"
968,way/609384228,"-85.30206294999999,42.33305755"
969,way/610125414,"-83.5295782,42.4819684"
970,way/610125415,"-83.52936705,42.48197395"
971,way/610125416,"-83.52915575,42.48197955"
972,way/611213024,"-83.32689335,44.42070525"
973,way/611309044,"-83.5067846,43.0267204"
974,way/611315169,"-84.5578616,42.7164972"
975,way/611315170,"-84.5580758,42.7165298"
976,way/611934631,"-84.43216190000001,42.69037335"
977,way/612396609,"-82.8981545,44.05296685"
978,way/612396610,"-82.89805015,44.0529312"
979,way/613936125,"-83.492109,43.026071900000005"
980,way/614115450,"-83.6426596,43.0149795"
981,way/614153055,"-86.3498793,41.9605439"
982,way/614530718,"-83.12843525,42.5242394"
983,way/614895350,"-84.94193924999999,45.3677641"
984,way/614919447,"-84.73957255,42.6306759"
985,way/616117840,"-85.6002618,42.894911500000006"
986,way/617889136,"-84.5172661,42.72905125"
987,way/617976974,"-83.00221625,44.044092"
988,way/619031198,"-83.52591480000001,43.0325645"
989,way/619572898,"-83.70881374999999,42.23056295"
990,way/620058961,"-86.2146524,43.459558200000004"
991,way/621754536,"-83.78498945,42.29402105"
992,way/621754537,"-83.7858007,42.29436905"
993,way/622331088,"-83.82204315,42.28159805"
994,way/622353051,"-83.7647107,42.27179865"
995,way/622353053,"-83.7649062,42.2716449"
996,way/622353982,"-83.675272,42.24809415"
997,way/622466470,"-82.95717965,42.4263655"
998,way/622466471,"-82.9567504,42.4261884"
999,way/624654126,"-84.02168929999999,42.3181304"
1000,way/625739331,"-83.95278880000001,42.5174811"
1001,way/626295707,"-83.77714165,42.262802449999995"
1002,way/626331116,"-83.0216361,42.639292"
1003,way/626331119,"-83.0216338,42.6391314"
1004,way/626779329,"-83.02500225,42.34485285"
1005,way/626779330,"-83.02479645,42.34493605"
1006,way/627425524,"-83.06422495000001,42.34092965"
1007,way/628927795,"-83.81481175,42.2777678"
1008,way/629420183,"-83.75548864999999,42.2767815"
1009,way/629479820,"-83.76016955,42.2883382"
1010,way/629481115,"-83.7685776,42.2986083"
1011,way/629482382,"-83.71058625,42.31323475000001"
1012,way/629484160,"-83.69325645,42.23757835"
1013,way/629635506,"-83.76136245000001,42.2789099"
1014,way/629841706,"-83.78077210000001,42.1822215"
1015,way/629843509,"-83.7839231,42.18231875"
1016,way/630145301,"-83.77166215,42.31390975"
1017,way/631358460,"-83.132228,42.3364289"
1018,way/631359004,"-83.12728975,42.37224585"
1019,way/631436317,"-85.69347725,42.294246650000005"
1020,way/632340288,"-83.6066914,42.2419078"
1021,way/632341072,"-85.33394605000001,43.198090199999996"
1022,way/632402777,"-83.9720936,43.41976545"
1023,way/632515812,"-83.29626404999999,42.01210795"
1024,way/632730951,"-83.9630569,43.394874650000006"
1025,way/632730952,"-83.9632804,43.3948759"
1026,way/632742648,"-84.01712119999999,43.419694500000006"
1027,way/632742650,"-84.01711714999999,43.41994575"
1028,way/632743775,"-83.93587495,43.4240468"
1029,way/632745616,"-83.90983045,43.41813475"
1030,way/632745617,"-83.90960065,43.41813395"
1031,way/632745618,"-83.9098258,43.417997650000004"
1032,way/632745619,"-83.9095973,43.41799675"
1033,way/632748556,"-83.9151772,43.4464824"
1034,way/632748557,"-83.9151766,43.44663605"
1035,way/633292599,"-83.1713732,42.370414749999995"
1036,way/633292604,"-83.2017996,42.348665499999996"
1037,way/633696415,"-83.9640744,43.517820400000005"
1038,way/633706073,"-83.00869265,42.3524501"
1039,way/633766965,"-84.4033925,42.241935600000005"
1040,way/635453619,"-83.2339386,42.68587585"
1041,way/635638305,"-84.82761885,45.427970900000005"
1042,way/636001023,"-83.1078241,42.4861353"
1043,way/638846798,"-83.1545203,42.269443800000005"
1044,way/640848522,"-83.1495445,42.38762135"
1045,way/643201883,"-85.63710040000001,42.98944665"
1046,way/643215159,"-85.66387755,42.9635891"
1047,way/647539423,"-85.5364439,43.01199445"
1048,way/647539424,"-85.53450000000001,43.01231315"
1049,way/647539425,"-85.53591575,43.00909885"
1050,way/649368103,"-83.23160490000001,42.39050965"
1051,way/652135474,"-83.0442867,42.37431145"
1052,way/652135477,"-83.1052724,42.36942465"
1053,way/652135478,"-83.1091586,42.37022399999999"
1054,way/652135480,"-83.1132711,42.341203500000006"
1055,way/653567720,"-83.2739971,42.63122715"
1056,way/654365930,"-84.57038019999999,42.7324993"
1057,way/654365931,"-84.57038299999999,42.7323475"
1058,way/655184859,"-83.0960089,42.44552315"
1059,way/655199268,"-83.05847499999999,42.4428843"
1060,way/655281266,"-84.55428284999999,42.754373799999996"
1061,way/655364057,"-83.05744025000001,42.4288976"
1062,way/655364083,"-83.0455316,42.42966955"
1063,way/655364092,"-83.03989630000001,42.43307115"
1064,way/655483733,"-83.01954255000001,42.3771037"
1065,way/657743562,"-82.97744635000001,42.3399602"
1066,way/658949501,"-84.56575050000001,42.67457685"
1067,way/660199284,"-84.52715549999999,42.72204645"
1068,way/660199286,"-84.5269367,42.7220455"
1069,way/660328129,"-85.2289958,42.3237306"
1070,way/660522519,"-84.5218472,42.70628855"
1071,way/661032691,"-88.50076665,47.11786945"
1072,way/661032697,"-88.51244475,47.117252"
1073,way/661786494,"-85.48395465,44.9622686"
1074,way/663687312,"-83.5912149,42.25865485"
1075,way/664607819,"-83.60725775,42.431094900000005"
1076,way/665437244,"-85.65726765,43.075434099999995"
1077,way/665924421,"-84.63986994999999,41.9157721"
1078,way/666010662,"-84.47607155,42.7547493"
1079,way/667862156,"-83.28041565000001,42.0953015"
1080,way/667862181,"-83.29646829999999,42.0969099"
1081,way/667987550,"-85.63921895,42.5349255"
1082,way/668942232,"-83.39023180000001,42.6502437"
1083,way/669666223,"-82.82148195,42.61445625"
1084,way/670569977,"-85.88982465000001,42.95329445"
1085,way/671416508,"-83.1085497,42.651280099999994"
1086,way/671416509,"-83.10846495,42.6511569"
1087,way/671416510,"-83.10838039999999,42.651033299999995"
1088,way/671840550,"-83.7830396,42.160904"
1089,way/672940221,"-85.5842983,42.896913600000005"
1090,way/672940222,"-85.58429675,42.89680415"
1091,way/672940224,"-85.58369175,42.897167350000004"
1092,way/672988228,"-85.58645865,42.8969035"
1093,way/674106386,"-83.13807605,42.48179275"
1094,way/674119525,"-83.13540975,42.493975750000004"
1095,way/674575078,"-83.25671109999999,42.27545095"
1096,way/675058328,"-84.59388974999999,43.41339335"
1097,way/675058338,"-84.59186940000001,43.414034349999994"
1098,way/675058339,"-84.5911771,43.414031300000005"
1099,way/675058358,"-84.5911882,43.413085699999996"
1100,way/675058359,"-84.5918795,43.41309484999999"
1101,way/675064478,"-86.1809081,43.2103657"
1102,way/675064481,"-86.17944560000001,43.21047435"
1103,way/675064482,"-86.1795641,43.21034715"
1104,way/675065294,"-84.00804059999999,41.88661715"
1105,way/675065295,"-84.007826,41.88662185"
1106,way/675065296,"-84.00761025,41.886622349999996"
1107,way/675065297,"-84.00739915,41.88662745"
1108,way/675065317,"-84.00839925,41.8839658"
1109,way/675065318,"-84.00839435,41.883702650000004"
1110,way/675065319,"-84.00705835,41.88398065"
1111,way/675065320,"-84.00705124999999,41.8837132"
1112,way/675288606,"-82.76478115,42.724872700000006"
1113,way/675288608,"-82.76454534999999,42.724879099999995"
1114,way/675300125,"-85.42819725,44.54416415"
1115,way/675300126,"-85.42874695,44.54388195"
1116,way/675300127,"-85.42873725,44.542840999999996"
1117,way/675316661,"-83.34777275,43.0339714"
1118,way/675316662,"-83.34815664999999,43.03396975"
1119,way/678066383,"-83.0795998,42.3147653"
1120,way/680742229,"-85.8303536,42.9062628"
1121,way/680753608,"-85.81508635,42.9224919"
1122,way/680753613,"-85.8178719,42.92231835"
1123,way/680777589,"-85.8433672,42.91222345"
1124,way/680795535,"-85.8400027,42.89888595"
1125,way/680795545,"-85.8415481,42.89935355"
1126,way/680799719,"-85.81036954999999,42.8905241"
1127,way/680799723,"-85.8098725,42.8895514"
1128,way/681029009,"-85.7979682,42.9110219"
1129,way/681120120,"-85.9068786,42.96409715"
1130,way/681492263,"-83.12784239999999,42.5018336"
1131,way/681775542,"-83.1777754,42.3865402"
1132,way/685672509,"-86.11354055000001,42.77827035"
1133,way/685916977,"-84.55645905,42.76058125"
1134,way/686447740,"-85.0240549,45.282018449999995"
1135,way/686455630,"-83.25627705,42.5754302"
1136,way/686553365,"-83.17497739999999,42.48414545"
1137,way/686924795,"-83.19221390000001,42.48350365"
1138,way/687432914,"-85.04343185,45.321378800000005"
1139,way/689722231,"-83.06698315,42.4240759"
1140,way/690068310,"-84.0904364,42.13941305"
1141,way/690104309,"-83.24297915,42.2692651"
1142,way/690499043,"-84.52369630000001,42.73681775"
1143,way/692578552,"-83.2957204,42.6406724"
1144,way/693049715,"-83.12716520000001,42.4137733"
1145,way/693053843,"-83.77722084999999,42.18488725"
1146,way/693746418,"-84.2802768,42.7140297"
1147,way/693770346,"-84.29898539999999,42.712933"
1148,way/693812454,"-84.29674130000001,42.705662399999994"
1149,way/694052557,"-83.29542035,42.64553325"
1150,way/694321197,"-84.54064364999999,42.6890742"
1151,way/695529463,"-85.62973195000001,44.752606799999995"
1152,way/698921660,"-85.34020000000001,44.5754841"
1153,way/698930039,"-84.9708779,44.9755903"
1154,way/699143826,"-83.01323035,42.57143805"
1155,way/699503090,"-83.12613605,42.613145849999995"
1156,way/699646629,"-83.1221467,42.599355349999996"
1157,way/700030052,"-82.78946830000001,42.569923149999994"
1158,way/700183884,"-83.23713155,42.6221715"
1159,way/700403712,"-84.74225045,45.39249065"
1160,way/700435722,"-83.12216365,42.63110545"
